"","age","total_children","feelings_life","sex","place_birth_canada","marital_status","vis_minority","citizenship_status","education","average_hours_worked","self_rated_health","self_rated_mental_health","language_home","language_knowledge","occupation","income_respondent"
"10630",18.4,0,9,"Female","Born outside Canada","Single, never married","Don't know","By naturalization","Less than high school diploma or its equivalent","0.1 to 29.9 hours","Good","Very good","English and non-official language","English only","Business, finance, and administration occupations","1"
"10631",46.4,3,9,"Male","Born outside Canada","Married","Not a visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","50.1 hours and more","Very good","Very good","English","English only","Sales and service occupations","6"
"10632",36.3,0,9,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Good","Excellent","English","English only","Sales and service occupations","1"
"10640",52.4,0,7,"Female","Born in Canada","Divorced","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English and French","Both English and French","Sales and service occupations","3"
"10641",48.1,2,7,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Good","Good","English","English only","Sales and service occupations","1"
"10642",58.3,3,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Very good","Very good","English","English only","Occupations in education, law and social, community and ...","3"
"10643",43.3,4,5,"Female","Born in Canada","Separated","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Good","English","English only","Occupations in education, law and social, community and ...","2"
"10645",56.1,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","University certificate or diploma below the bachelor's level","30.0 to 40.0 hours","Good","Excellent","English","English only","Management occupations","5"
"10647",35.9,0,9,"Female","Born in Canada","Single, never married","Visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English and non-official language","English only","Business, finance, and administration occupations","2"
"10648",65,2,10,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Fair","Excellent","English","English only","Occupations in education, law and social, community and ...","4"
"10649",62.3,3,6,"Male","Born in Canada","Divorced","Not a visible minority","By birth","Less than high school diploma or its equivalent","40.1 to 50.0 hours","Good","Good","English","English only","Trades, transport and equipment operators and related oc...","3"
"10650",43.5,1,7,"Female","Born outside Canada","Married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Good","Non-official languages","English only","Management occupations","1"
"10651",74.4,1,7,"Female","Born in Canada","Separated","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","0.1 to 29.9 hours","Good","Very good","English","English only","Sales and service occupations","3"
"10652",36.8,3,8,"Male","Born in Canada","Married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Very good","Very good","English","English only","Management occupations","3"
"10654",20.1,0,10,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Very good","Excellent","English","English only","Trades, transport and equipment operators and related oc...","1"
"10655",24.1,0,6,"Female","Born in Canada","Single, never married","Not a visible minority","By birth","High school diploma or a high school equivalency certificate","30.0 to 40.0 hours","Fair","Poor","English","English only","Occupations in education, law and social, community and ...","1"
"10658",61.9,1,7,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Very good","Excellent","English","Both English and French","Trades, transport and equipment operators and related oc...","2"
"10660",25.6,0,7,"Male","Born in Canada","Single, never married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","40.1 to 50.0 hours","Good","Excellent","English and non-official language","English only","Trades, transport and equipment operators and related oc...","1"
"10661",26,0,8,"Female","Born in Canada","Living common-law","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Very good","Good","English","English only","Trades, transport and equipment operators and related oc...","2"
"10662",38.5,0,8,"Male","Born outside Canada","Married","Not a visible minority","By naturalization","University certificate, diploma or degree above the bach...","30.0 to 40.0 hours","Excellent","Excellent","French","Both English and French","Sales and service occupations","3"
"10663",64.6,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","0.1 to 29.9 hours","Very good","Very good","English","English only","Management occupations","4"
"10664",62.8,1,8,"Male","Born outside Canada","Divorced","Visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","50.1 hours and more","Good","Good","English","English only","Occupations in education, law and social, community and ...","4"
"10665",71.6,3,10,"Male","Born in Canada","Married","Not a visible minority","By birth","University certificate, diploma or degree above the bach...","0.1 to 29.9 hours","Good","Excellent","French","Both English and French","Business, finance, and administration occupations","6"
"10670",56.7,2,7,"Female","Born in Canada","Divorced","Not a visible minority","By birth","Trade certificate or diploma","30.0 to 40.0 hours","Good","Good","English, French and non-official language","Both English and French","Health occupations","2"
"10672",70.5,2,10,"Male","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","30.0 to 40.0 hours","Good","Excellent","English","English only","Business, finance, and administration occupations","6"
"10673",35.4,0,8,"Male","Born outside Canada","Single, never married","Visible minority","By naturalization","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","40.1 to 50.0 hours","Very good","Very good","English","English only","Sales and service occupations","6"
"10674",38.9,2,8,"Male","Born in Canada","Living common-law","Not a visible minority","By birth","College, CEGEP or other non-university certificate or di...","30.0 to 40.0 hours","Fair","Very good","French","Both English and French","Natural and applied sciences and related occupations","2"
"10677",76.8,2,9,"Female","Born outside Canada","Married","Not a visible minority","By naturalization","College, CEGEP or other non-university certificate or di...","Don't know","Very good","Excellent","English and non-official language","English only","Management occupations","3"
"10681",48.6,2,8,"Female","Born in Canada","Married","Not a visible minority","By birth","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","50.1 hours and more","Fair","Good","English","English only","Sales and service occupations","6"
"10683",66.3,3,7,"Female","Born in Canada","Separated","Not a visible minority","By birth","Less than high school diploma or its equivalent","Don't know","Very good","Good","English","English only","Sales and service occupations","1"
